>TARGSPHER  spherical target with explicit spacing
33401 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-40.5 -40.5 -40.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
   715  25  30  38 2 2 2
   716  25  30  39 2 2 2
   717  25  30  40 2 2 2
   718  25  30  41 2 2 2
   719  25  30  42 2 2 2
   720  25  30  43 2 2 2
   721  25  30  44 2 2 2
   722  25  30  45 2 2 2
   723  25  31  35 2 2 2
   724  25  31  36 2 2 2
   725  25  31  37 2 2 2
   726  25  31  38 2 2 2
   727  25  31  39 2 2 2
   728  25  31  40 2 2 2
   729  25  31  41 2 2 2
   730  25  31  42 2 2 2
   731  25  31  43 2 2 2
   732  25  31  44 2 2 2
   733  25  31  45 2 2 2
   734  25  31  46 2 2 2
   735  25  31  47 2 2 2
   736  25  32  34 2 2 2
   737  25  32  35 2 2 2
   738  25  32  36 2 2 2
   739  25  32  37 2 2 2
   740  25  32  38 2 2 2
   741  25  32  39 2 2 2
   742  25  32  40 2 2 2
   743  25  32  41 2 2 2
   744  25  32  42 2 2 2
   745  25  32  43 2 2 2
   746  25  32  44 2 2 2
   747  25  32  45 2 2 2
   748  25  32  46 2 2 2
   749  25  32  47 2 2 2
   750  25  32  48 2 2 2
   751  25  33  33 2 2 2
   752  25  33  34 2 2 2
   753  25  33  35 2 2 2
   754  25  33  36 2 2 2
   755  25  33  37 2 2 2
   756  25  33  38 2 2 2
   757  25  33  39 2 2 2
   758  25  33  40 2 2 2
   759  25  33  41 2 2 2
   760  25  33  42 2 2 2
   761  25  33  43 2 2 2
   762  25  33  44 2 2 2
   763  25  33  45 2 2 2
   764  25  33  46 2 2 2
   765  25  33  47 2 2 2
   766  25  33  48 2 2 2
   767  25  33  49 2 2 2
   768  25  34  32 2 2 2
   769  25  34  33 2 2 2
   770  25  34  34 2 2 2
   771  25  34  35 2 2 2
   772  25  34  36 2 2 2
   773  25  34  37 2 2 2
   774  25  34  38 2 2 2
   775  25  34  39 2 2 2
   776  25  34  40 2 2 2
   777  25  34  41 2 2 2
   778  25  34  42 2 2 2
   779  25  34  43 2 2 2
   780  25  34  44 2 2 2
   781  25  34  45 2 2 2
   782  25  34  46 2 2 2
   783  25  34  47 2 2 2
   784  25  34  48 2 2 2
   785  25  34  49 2 2 2
   786  25  34  50 2 2 2
   787  25  35  31 2 2 2
   788  25  35  32 2 2 2
   789  25  35  33 2 2 2
   790  25  35  34 2 2 2
   791  25  35  35 2 2 2
   792  25  35  36 2 2 2
   793  25  35  37 2 2 2
   794  25  35  38 2 2 2
   795  25  35  39 2 2 2
   796  25  35  40 2 2 2
   797  25  35  41 2 2 2
   798  25  35  42 2 2 2
   799  25  35  43 2 2 2
   800  25  35  44 2 2 2
   801  25  35  45 2 2 2
   802  25  35  46 2 2 2
   803  25  35  47 2 2 2
   804  25  35  48 2 2 2
   805  25  35  49 2 2 2
   806  25  35  50 2 2 2
   807  25  35  51 2 2 2
   808  25  36  31 2 2 2
   809  25  36  32 2 2 2
   810  25  36  33 2 2 2
   811  25  36  34 2 2 2
   812  25  36  35 2 2 2
   813  25  36  36 2 2 2
   814  25  36  37 2 2 2
   815  25  36  38 2 2 2
   816  25  36  39 2 2 2
   817  25  36  40 2 2 2
   818  25  36  41 2 2 2
   819  25  36  42 2 2 2
   820  25  36  43 2 2 2
   821  25  36  44 2 2 2
   822  25  36  45 2 2 2
   823  25  36  46 2 2 2
   824  25  36  47 2 2 2
   825  25  36  48 2 2 2
   826  25  36  49 2 2 2
   827  25  36  50 2 2 2
   828  25  36  51 2 2 2
   829  25  37  30 2 2 2
   830  25  37  31 2 2 2
   831  25  37  32 2 2 2
   832  25  37  33 2 2 2
   833  25  37  34 2 2 2
   834  25  37  35 2 2 2
   835  25  37  36 2 2 2
   836  25  37  37 2 2 2
   837  25  37  38 2 2 2
   838  25  37  39 2 2 2
   839  25  37  40 2 2 2
   840  25  37  41 2 2 2
   841  25  37  42 2 2 2
   842  25  37  43 2 2 2
   843  25  37  44 2 2 2
   844  25  37  45 2 2 2
   845  25  37  46 2 2 2
   846  25  37  47 2 2 2
   847  25  37  48 2 2 2
   848  25  37  49 2 2 2
   849  25  37  50 2 2 2
   850  25  37  51 2 2 2
   851  25  37  52 2 2 2
   852  25  38  30 2 2 2
   853  25  38  31 2 2 2
   854  25  38  32 2 2 2
   855  25  38  33 2 2 2
   856  25  38  34 2 2 2
   857  25  38  35 2 2 2
   858  25  38  36 2 2 2
   859  25  38  37 2 2 2
   860  25  38  38 2 2 2
   861  25  38  39 2 2 2
   862  25  38  40 2 2 2
   863  25  38  41 2 2 2
   864  25  38  42 2 2 2
   865  25  38  43 2 2 2
   866  25  38  44 2 2 2
   867  25  38  45 2 2 2
   868  25  38  46 2 2 2
   869  25  38  47 2 2 2
   870  25  38  48 2 2 2
   871  25  38  49 2 2 2
   872  25  38  50 2 2 2
   873  25  38  51 2 2 2
   874  25  38  52 2 2 2
   875  25  39  30 2 2 2
   876  25  39  31 2 2 2
   877  25  39  32 2 2 2
   878  25  39  33 2 2 2
   879  25  39  34 2 2 2
   880  25  39  35 2 2 2
   881  25  39  36 2 2 2
   882  25  39  37 2 2 2
   883  25  39  38 2 2 2
   884  25  39  39 2 2 2
   885  25  39  40 2 2 2
   886  25  39  41 2 2 2
   887  25  39  42 2 2 2
   888  25  39  43 2 2 2
   889  25  39  44 2 2 2
   890  25  39  45 2 2 2
   891  25  39  46 2 2 2
   892  25  39  47 2 2 2
   893  25  39  48 2 2 2
   894  25  39  49 2 2 2
   895  25  39  50 2 2 2
