 >TARCYLCAP  cylinder with end-caps: Length= 50.0000 Diameter= 14.0000
      9272 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -25.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    465  15   0  -5 1 1 1
    466  16   0  -5 1 1 1
    467  17   0  -5 1 1 1
    468  18   0  -5 1 1 1
    469  19   0  -5 1 1 1
    470  20   0  -5 1 1 1
    471  21   0  -5 1 1 1
    472  22   0  -5 1 1 1
    473  23   0  -5 1 1 1
    474  24   0  -5 1 1 1
    475  25   0  -5 1 1 1
    476  26   0  -5 1 1 1
    477  27   0  -5 1 1 1
    478  28   0  -5 1 1 1
    479  29   0  -5 1 1 1
    480  30   0  -5 1 1 1
    481  31   0  -5 1 1 1
    482  32   0  -5 1 1 1
    483  33   0  -5 1 1 1
    484  34   0  -5 1 1 1
    485  35   0  -5 1 1 1
    486  36   0  -5 1 1 1
    487  37   0  -5 1 1 1
    488  38   0  -5 1 1 1
    489  39   0  -5 1 1 1
    490  40   0  -5 1 1 1
    491  41   0  -5 1 1 1
    492  42   0  -5 1 1 1
    493  43   0  -5 1 1 1
    494  44   0  -5 1 1 1
    495  45   0  -5 1 1 1
    496  46   0  -5 1 1 1
    497  47   0  -5 1 1 1
    498  48   0  -5 1 1 1
    499  49   0  -5 1 1 1
    500  50   0  -5 1 1 1
    501   1   1  -5 1 1 1
    502   2   1  -5 1 1 1
    503   3   1  -5 1 1 1
    504   4   1  -5 1 1 1
    505   5   1  -5 1 1 1
    506   6   1  -5 1 1 1
    507   7   1  -5 1 1 1
    508   8   1  -5 1 1 1
    509   9   1  -5 1 1 1
    510  10   1  -5 1 1 1
    511  11   1  -5 1 1 1
    512  12   1  -5 1 1 1
    513  13   1  -5 1 1 1
    514  14   1  -5 1 1 1
    515  15   1  -5 1 1 1
    516  16   1  -5 1 1 1
    517  17   1  -5 1 1 1
    518  18   1  -5 1 1 1
    519  19   1  -5 1 1 1
    520  20   1  -5 1 1 1
    521  21   1  -5 1 1 1
    522  22   1  -5 1 1 1
    523  23   1  -5 1 1 1
    524  24   1  -5 1 1 1
    525  25   1  -5 1 1 1
    526  26   1  -5 1 1 1
    527  27   1  -5 1 1 1
    528  28   1  -5 1 1 1
    529  29   1  -5 1 1 1
    530  30   1  -5 1 1 1
    531  31   1  -5 1 1 1
    532  32   1  -5 1 1 1
    533  33   1  -5 1 1 1
    534  34   1  -5 1 1 1
    535  35   1  -5 1 1 1
    536  36   1  -5 1 1 1
    537  37   1  -5 1 1 1
    538  38   1  -5 1 1 1
    539  39   1  -5 1 1 1
    540  40   1  -5 1 1 1
    541  41   1  -5 1 1 1
    542  42   1  -5 1 1 1
    543  43   1  -5 1 1 1
    544  44   1  -5 1 1 1
    545  45   1  -5 1 1 1
    546  46   1  -5 1 1 1
    547  47   1  -5 1 1 1
    548  48   1  -5 1 1 1
    549  49   1  -5 1 1 1
    550  50   1  -5 1 1 1
    551   1   2  -5 1 1 1
    552   2   2  -5 1 1 1
    553   3   2  -5 1 1 1
    554   4   2  -5 1 1 1
    555   5   2  -5 1 1 1
    556   6   2  -5 1 1 1
    557   7   2  -5 1 1 1
    558   8   2  -5 1 1 1
    559   9   2  -5 1 1 1
    560  10   2  -5 1 1 1
    561  11   2  -5 1 1 1
    562  12   2  -5 1 1 1
    563  13   2  -5 1 1 1
    564  14   2  -5 1 1 1
    565  15   2  -5 1 1 1
    566  16   2  -5 1 1 1
    567  17   2  -5 1 1 1
    568  18   2  -5 1 1 1
    569  19   2  -5 1 1 1
    570  20   2  -5 1 1 1
    571  21   2  -5 1 1 1
    572  22   2  -5 1 1 1
    573  23   2  -5 1 1 1
    574  24   2  -5 1 1 1
    575  25   2  -5 1 1 1
    576  26   2  -5 1 1 1
    577  27   2  -5 1 1 1
    578  28   2  -5 1 1 1
    579  29   2  -5 1 1 1
    580  30   2  -5 1 1 1
    581  31   2  -5 1 1 1
    582  32   2  -5 1 1 1
    583  33   2  -5 1 1 1
    584  34   2  -5 1 1 1
    585  35   2  -5 1 1 1
    586  36   2  -5 1 1 1
    587  37   2  -5 1 1 1
    588  38   2  -5 1 1 1
    589  39   2  -5 1 1 1
    590  40   2  -5 1 1 1
    591  41   2  -5 1 1 1
    592  42   2  -5 1 1 1
    593  43   2  -5 1 1 1
    594  44   2  -5 1 1 1
    595  45   2  -5 1 1 1
    596  46   2  -5 1 1 1
    597  47   2  -5 1 1 1
    598  48   2  -5 1 1 1
    599  49   2  -5 1 1 1
    600  50   2  -5 1 1 1
    601   1   3  -5 1 1 1
    602   2   3  -5 1 1 1
    603   3   3  -5 1 1 1
    604   4   3  -5 1 1 1
    605   5   3  -5 1 1 1
    606   6   3  -5 1 1 1
    607   7   3  -5 1 1 1
    608   8   3  -5 1 1 1
    609   9   3  -5 1 1 1
    610  10   3  -5 1 1 1
    611  11   3  -5 1 1 1
    612  12   3  -5 1 1 1
    613  13   3  -5 1 1 1
    614  14   3  -5 1 1 1
    615  15   3  -5 1 1 1
    616  16   3  -5 1 1 1
    617  17   3  -5 1 1 1
    618  18   3  -5 1 1 1
    619  19   3  -5 1 1 1
    620  20   3  -5 1 1 1
    621  21   3  -5 1 1 1
    622  22   3  -5 1 1 1
    623  23   3  -5 1 1 1
    624  24   3  -5 1 1 1
    625  25   3  -5 1 1 1
    626  26   3  -5 1 1 1
    627  27   3  -5 1 1 1
    628  28   3  -5 1 1 1
    629  29   3  -5 1 1 1
    630  30   3  -5 1 1 1
    631  31   3  -5 1 1 1
    632  32   3  -5 1 1 1
    633  33   3  -5 1 1 1
    634  34   3  -5 1 1 1
    635  35   3  -5 1 1 1
    636  36   3  -5 1 1 1
    637  37   3  -5 1 1 1
    638  38   3  -5 1 1 1
    639  39   3  -5 1 1 1
    640  40   3  -5 1 1 1
    641  41   3  -5 1 1 1
    642  42   3  -5 1 1 1
    643  43   3  -5 1 1 1
    644  44   3  -5 1 1 1
    645  45   3  -5 1 1 1
    646  46   3  -5 1 1 1
    647  47   3  -5 1 1 1
    648  48   3  -5 1 1 1
    649  49   3  -5 1 1 1
    650  50   3  -5 1 1 1
    651   1   4  -5 1 1 1
    652   2   4  -5 1 1 1
    653   3   4  -5 1 1 1
    654   4   4  -5 1 1 1
    655   5   4  -5 1 1 1
    656   6   4  -5 1 1 1
    657   7   4  -5 1 1 1
    658   8   4  -5 1 1 1
    659   9   4  -5 1 1 1
    660  10   4  -5 1 1 1
    661  11   4  -5 1 1 1
    662  12   4  -5 1 1 1
    663  13   4  -5 1 1 1
    664  14   4  -5 1 1 1
    665  15   4  -5 1 1 1
    666  16   4  -5 1 1 1
    667  17   4  -5 1 1 1
    668  18   4  -5 1 1 1
    669  19   4  -5 1 1 1
    670  20   4  -5 1 1 1
    671  21   4  -5 1 1 1
    672  22   4  -5 1 1 1
    673  23   4  -5 1 1 1
    674  24   4  -5 1 1 1
    675  25   4  -5 1 1 1
    676  26   4  -5 1 1 1
    677  27   4  -5 1 1 1
    678  28   4  -5 1 1 1
    679  29   4  -5 1 1 1
